Year,HC_Resources,AW_Resources,HC_Ecosystem,AW_Ecosystem,HC_CarbonFix,AW_CarbonFix,HC_HeatStress,AW_HeatStress,HC_Stability,AW_Stability
0,1.0,1.0,1.0,1.0,1.0,1.0,0.1,0.1,1.0,1.0
1,0.97,0.9917,0.9996,1.0016,1.0,1.008,0.118,0.094,0.976,1.0063
2,0.9409,0.9836,0.9991,1.0032,1.0,1.016,0.136,0.088,0.9574,1.0047
3,0.9127,0.9758,0.9983,1.0048,1.0,1.0241,0.154,0.082,0.9392,1.0032
4,0.8853,0.9682,0.9972,1.0064,1.0,1.0321,0.172,0.076,0.9215,1.0018
5,0.8587,0.9608,0.996,1.0079,0.9999,1.0402,0.19,0.07,0.9041,1.0004
6,0.8329,0.9537,0.9946,1.0095,0.9999,1.0483,0.208,0.064,0.8872,0.9992
7,0.8079,0.9469,0.9929,1.011,0.9998,1.0564,0.226,0.058,0.8706,0.998
8,0.7837,0.9402,0.9911,1.0126,0.9998,1.0645,0.244,0.052,0.8544,0.9968
9,0.7601,0.9337,0.989,1.0141,0.9997,1.0726,0.262,0.05,0.8386,0.9957
10,0.7373,0.9275,0.9867,1.0156,0.9996,1.0807,0.28,0.05,0.8231,0.9946
11,0.7151,0.9214,0.9843,1.0171,0.9994,1.0888,0.298,0.05,0.8079,0.9935
12,0.6936,0.9156,0.9816,1.0186,0.9993,1.097,0.316,0.05,0.793,0.9925
13,0.6727,0.9099,0.9787,1.02,0.9991,1.1051,0.334,0.05,0.7784,0.9915
14,0.6525,0.9044,0.9755,1.0214,0.9989,1.1133,0.352,0.05,0.7641,0.9906
15,0.6328,0.8991,0.9722,1.0228,0.9986,1.1215,0.37,0.05,0.7501,0.9897
16,0.6137,0.8939,0.9687,1.0241,0.9984,1.1297,0.388,0.05,0.7363,0.9889
17,0.5952,0.8889,0.965,1.0254,0.9981,1.1379,0.406,0.05,0.7228,0.988
18,0.5773,0.8841,0.961,1.0267,0.9977,1.1461,0.4241,0.05,0.7096,0.9873
19,0.5598,0.8795,0.9569,1.028,0.9973,1.1543,0.4421,0.05,0.6965,0.9866
20,0.5429,0.8749,0.9525,1.0292,0.9969,1.1626,0.4601,0.05,0.6838,0.9859
21,0.5265,0.8706,0.9479,1.0305,0.9964,1.1708,0.4781,0.05,0.6712,0.9852
22,0.5106,0.8664,0.9432,1.0317,0.9959,1.1791,0.4961,0.05,0.6588,0.9846
23,0.4951,0.8623,0.9382,1.0328,0.9953,1.1873,0.5142,0.05,0.6466,0.984
24,0.4801,0.8583,0.933,1.034,0.9947,1.1956,0.5322,0.05,0.6347,0.9834
25,0.4655,0.8545,0.9276,1.0351,0.994,1.2,0.5502,0.05,0.6229,0.9829
26,0.4514,0.8508,0.922,1.0362,0.9933,1.2,0.5682,0.05,0.6112,0.9823
27,0.4377,0.8472,0.9162,1.0373,0.9925,1.2,0.5863,0.05,0.5998,0.9817
28,0.4244,0.8438,0.9102,1.0383,0.9917,1.2,0.6043,0.05,0.5885,0.9812
29,0.4115,0.8404,0.904,1.0393,0.9908,1.2,0.6224,0.05,0.5773,0.9807
